ACK Flag Count,Active Max,Active Mean,Active Min,Active Std,Average Packet Size,Bwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Header Length,Bwd IAT Max,Bwd IAT Mean,Bwd IAT Min,Bwd IAT Std,Bwd IAT Total,Bwd Init Win Bytes,Bwd PSH Flags,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Min,Bwd Packet Length Std,Bwd Packet/Bulk Avg,Bwd Segment Size Avg,Bwd URG Flags,CWR Flag Count,Down/Up Ratio,Dst Port,ECE Flag Count,FIN Flag Count,FWD Init Win Bytes,Flow Bytes/s,Flow Duration,Flow IAT Max,Flow IAT Mean,Flow IAT Min,Flow IAT Std,Flow Packets/s,Fwd Bulk Rate Avg,Fwd Bytes/Bulk Avg,Fwd Header Length,Fwd IAT Max,Fwd IAT Mean,Fwd IAT Min,Fwd IAT Std,Fwd IAT Total,Fwd PSH Flags,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Min,Fwd Packet Length Std,Fwd Packet/Bulk Avg,Fwd Segment Size Avg,Fwd URG Flags,Idle Max,Idle Mean,Idle Min,Idle Std,PSH Flag Count,Packet Length Max,Packet Length Mean,Packet Length Min,Packet Length Std,Packet Length Variance,Protocol,RST Flag Count,SYN Flag Count,Subflow Bwd Bytes,Subflow Bwd Packets,Subflow Fwd Bytes,Subflow Fwd Packets,Total Bwd packets,Total Fwd Packet,Total Length of Bwd Packet,Total Length of Fwd Packet,URG Flag Count
0.0,0.05391717,0.026958585,0.0,0.0,60.0,0.0,0.0,56.0,53917.168,53917.168,53917.168,0.0,53917.168,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.0,0.0,0.0,0.0,25228.0,0.0,0.0,0.0,2225.6362,53917.0,53917.168,53917.168,53917.168,0.0,37.093937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05391717,0.026958585,0.0,0.0,0.0,60.0,60.0,60.0,0.0,0.0,17.0,0.0,0.0,120.0,2.0,0.0,0.0,2.0,0.0,120.0,0.0,0.0
9.0,0.004495144,0.002247572,0.0,0.0,109.8,5.0,222.4623,200.0,2198.9346,1117.7659,0.0,882.52466,4471.0635,65535.0,1.0,269.0,108.2,66.0,80.45968,541.0,108.2,0.0,0.0,0.9712747,37518.0,0.0,2.0,65535.0,244263.6,4495.0,1726.1505,499.46042,0.0,623.1492,2224.6228,5.0,222.4623,200.0,2321.005,1116.7527,106.09627,859.53424,4467.0107,2.0,249.0,111.4,66.0,70.06168,557.0,111.4,0.0,0.004495144,0.002247572,0.0,0.0,3.0,269.0,109.8,66.0,75.45701,5693.76,6.0,0.0,2.0,541.0,5.0,557.0,5.0,5.0,5.0,541.0,557.0,0.0
14.0,0.6016369,0.30081844,0.0,0.0,73.86667,9.0,1.6621321,360.0,351722.0,75204.61,333.786,116251.6,601636.9,65535.0,2.0,81.0,69.666664,66.0,5.456902,627.0,69.666664,0.0,0.0,1.3035343,45726.0,0.0,2.0,65535.0,1841.6425,601636.0,351722.0,42974.062,46.96846,95430.87,24.931982,6.0,1.6621321,240.0,353139.88,120244.22,118.0172,128844.695,601221.06,3.0,100.0,80.166664,66.0,12.548794,481.0,80.166664,0.0,0.6016369,0.30081844,0.0,0.0,5.0,100.0,73.86667,66.0,10.359323,107.31555,6.0,0.0,2.0,627.0,9.0,481.0,6.0,9.0,6.0,627.0,481.0,0.0
0.0,1e-06,5e-07,0.0,0.0,98.0,1.0,1e+06,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,98.0,0.0,98.0,98.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,9.8e+07,1.0,0.0,0.0,0.0,0.0,1e+06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,5e-07,0.0,0.0,0.0,98.0,98.0,98.0,0.0,0.0,17.0,0.0,0.0,98.0,1.0,0.0,0.0,1.0,0.0,98.0,0.0,0.0
47.0,1131.2445,565.62225,0.0,0.0,225.38776,10.0,0.0026519466,1200.0,1.126646e+09,3.900843e+07,292.06274,2.0554462e+08,1.1312445e+09,65535.0,10.0,834.0,149.13333,66.0,196.01866,1491.3334,149.13333,0.0,0.0,0.6809741,45712.0,0.0,4.0,65535.0,9.762699,1.1312445e+09,1.126646e+09,2.3567594e+07,22.888184,1.6090088e+08,0.043315127,6.3333335,0.0026519466,760.0,1.1266464e+09,6.2846884e+07,2324.1042,2.580098e+08,1.1312439e+09,12.0,1170.0,345.78946,66.0,427.01654,2190.0,345.78946,0.0,1131.2445,565.62225,0.0,0.0,22.0,1170.0,225.38776,66.0,321.57443,103410.12,6.0,0.0,4.0,4474.0,30.0,6570.0,19.0,30.0,19.0,4474.0,6570.0,0.0
5.0,0.001978159,0.0009890795,0.0,0.0,72.85714,3.0,505.52054,120.0,985.86084,975.4896,965.1184,10.371208,1950.9792,65535.0,1.0,88.0,76.0,66.0,9.092121,228.0,76.0,0.0,0.0,0.80851066,47474.0,0.0,1.0,65535.0,257815.48,1978.0,938.1771,329.69315,26.9413,360.24622,3538.6438,4.0,505.52054,160.0,1146.0781,650.4059,70.09506,443.32654,1951.2177,1.0,88.0,70.5,54.0,12.359207,282.0,70.5,0.0,0.001978159,0.0009890795,0.0,0.0,2.0,88.0,72.85714,54.0,11.407123,130.12245,6.0,1.0,2.0,228.0,3.0,282.0,4.0,3.0,4.0,228.0,282.0,0.0
1.0,1e-06,5e-07,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55952.0,0.0,0.0,65535.0,5.8e+07,1.0,0.0,0.0,0.0,0.0,1e+06,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.0,0.0,1e-06,5e-07,0.0,0.0,0.0,58.0,58.0,58.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,58.0,1.0,0.0,1.0,0.0,58.0,0.0
13.0,0.009600878,0.004800439,0.0,0.0,1113.0,8.0,104.15714,320.0,5707.0254,1371.554,0.0,1855.6466,9600.878,65535.0,1.0,3535.0,500.625,66.0,1146.8889,4005.0,500.625,0.0,0.0,0.34594455,57732.0,0.0,2.0,65535.0,1.6229766e+06,9600.0,5707.0254,738.52905,0.0,1492.6487,1458.2,6.0,104.15714,240.0,5707.979,1856.184,0.0,2157.0125,9280.92,3.0,4410.0,1929.5,66.0,1961.2992,11577.0,1929.5,0.0,0.009600878,0.004800439,0.0,0.0,4.0,4410.0,1113.0,66.0,1703.0028,2.9002185e+06,6.0,0.0,2.0,4005.0,8.0,11577.0,6.0,8.0,6.0,4005.0,11577.0,0.0
1.0,0.0012180805,0.00060904026,0.0,0.0,60.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,65535.0,0.0,60.0,60.0,60.0,0.0,0.0,60.0,0.0,0.0,1.0,44.0,0.0,0.0,65535.0,98515.66,1218.0,1218.0806,1218.0806,1218.0806,0.0,1641.9276,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.0,0.0,0.0012180805,0.00060904026,0.0,0.0,0.0,60.0,60.0,60.0,0.0,0.0,6.0,1.0,1.0,60.0,1.0,60.0,1.0,1.0,1.0,60.0,60.0,0.0
20.0,0.06522608,0.03261304,0.0,0.0,233.19048,11.0,15.331291,440.0,42121.17,6522.608,373.12506,12093.029,65226.08,65535.0,6.0,1634.0,227.54546,66.0,445.2585,2503.0,227.54546,0.0,0.0,1.0455304,33134.0,0.0,2.0,65535.0,75077.336,65226.0,41677.0,3261.304,0.0,8994.261,321.95712,10.0,15.331291,400.0,43174.027,7160.902,174.04556,12954.856,64448.117,5.0,1146.0,239.4,66.0,336.19287,2394.0,239.4,0.0,0.06522608,0.03261304,0.0,0.0,11.0,1634.0,233.19048,66.0,397.12054,157704.72,6.0,0.0,2.0,2503.0,11.0,2394.0,10.0,11.0,10.0,2503.0,2394.0,0.0
